timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
1731688338.068568,-3.317505889484199,-0.11320810714975127,-6.964632030252835,0.6,-4.933333333333334,6.7
1731688338.0904398,-3.303024013057329,-2.1753110074298694,-4.2087972318466065,-0.13333333333333333,-4.066666666666666,5.566666666666666
1731688338.107608,-1.8722597935627618,-3.7334886229125868,-6.525860960019054,-3.533333333333333,-3.5,4.066666666666666
1731688338.1376238,-2.743529754354805,1.1952301568866845,-9.897320727267884,-7.466666666666667,-3.2,-0.5
1731688338.1539493,-2.6499640570497602,2.137985167544271,-8.834404567994417,-7.166666666666667,-2.966666666666667,-1.3666666666666667
1731688338.1806824,-3.60196405704976,6.15798516754427,-2.490783451087417,-1.0666666666666667,0.4,-3.3666666666666667
1731688338.1806824,-3.9059640570497605,6.471230156886685,-4.363379929850231,1.3333333333333333,1.8666666666666667,-3.2
1731688338.212867,-2.576529754354805,6.915511377087413,-11.811779015965678,7.766666666666667,5.5,-0.0
1731688338.2446015,-0.009259793562762297,6.417377897955335,-19.40368403169521,14.566666666666666,6.5,2.3333333333333335
1731688338.2609797,-0.008024013057330137,4.446377897955335,-20.107213624657426,14.666666666666666,5.5,0.5333333333333333
1731688338.292444,8.61197598694267,-6.702622102044665,-10.962644583174137,9.233333333333333,0.6,-4.033333333333333
1731688338.292444,9.64097598694267,-9.075622102044665,-6.069627022389676,6.366666666666666,-1.3333333333333333,-3.6
1731688338.3082924,6.802494110515802,-7.648538258804497,-1.4216793228982163,1.4333333333333333,-4.433333333333334,-0.3
1731688338.3526464,1.1281222523986312,-3.578538258804497,-0.9747997996597395,-1.1,-6.666666666666667,4.2
1731688338.3536408,0.4343989252324736,-3.6568362446439044,-0.3278351570985536,-1.2333333333333334,-7.166666666666667,5.333333333333333
1731688338.3823915,-5.672864424855456,-4.050253795832741,-1.588249712055887,-2.8666666666666667,-7.733333333333333,8.1
1731688338.3973923,-7.802673613300185,-4.223823595224707,-7.50909079310148,-4.466666666666667,-7.3,7.966666666666667
1731688338.4428189,-6.907709211125343,3.243353197555046,-10.231936945990894,-10.333333333333334,-5.866666666666666,-1.5
1731688338.4438202,-2.2397092111253425,7.1224839690704105,-6.161745814721341,-9.866666666666667,-5.266666666666667,-9.233333333333333
1731688338.457727,0.18164817670546007,5.625476485132369,-4.016724425436108,-6.733333333333333,-4.5,-12.633333333333333
1731688338.4832149,-0.4357092111253422,4.534579049999151,-2.439323205087121,-5.133333333333334,-4.1,-13.133333333333333
1731688338.4832149,-5.129019327037472,-0.24158958503939587,-1.4106917220736332,-1.7666666666666666,-0.5,-13.066666666666666
1731688338.5143485,-5.328715885946073,-2.175002460564762,0.392117017435843,1.5,3.7666666666666666,-9.833333333333334
1731688338.5302377,-3.134673613300185,-0.314,-11.514990284066412,6.166666666666667,6.666666666666667,-4.133333333333334
1731688338.5463142,-0.4157323558957593,-0.6260021636454735,-16.261888786886566,9.033333333333333,6.733333333333333,-0.5666666666666667
1731688338.5781898,1.5752676441042404,-0.9980021636454733,-17.25823269081661,9.266666666666667,5.133333333333334,-0.7666666666666667
1731688338.594303,7.129122252398631,-3.9455113770874135,-12.471386052231148,7.066666666666666,0.9,-1.8666666666666667
1731688338.6163008,8.908330011719977,-6.336163755356096,-8.669005578889465,4.6,-2.7333333333333334,0.5666666666666667
1731688338.6372306,4.397330011719976,-5.161511377087414,-7.054342616973832,2.2666666666666666,-5.133333333333334,4.6
1731688338.6505566,0.327330011719976,-3.7803778979553355,-5.3415823496095705,-0.06666666666666667,-5.8,6.833333333333333
1731688338.689919,-2.7748777476013693,-2.6484617411955034,-6.450302306092139,-3.433333333333333,-5.733333333333333,6.1
1731688338.689919,-3.4105703355431594,-2.2997918928502488,-7.684718289308849,-5.2,-5.333333333333333,4.766666666666667
1731688338.7425456,-3.5147323558957595,1.6807918928502488,-9.678779349023198,-8.4,-4.1,-0.2
1731688338.7438757,-3.0703846099097607,2.5170021636454734,-8.479752026896042,-8.166666666666666,-3.5,-1.2
1731688338.7575278,-3.3331526123684396,5.668461741195503,-3.7490908216020613,-5.633333333333334,-1.9666666666666666,-1.5
1731688338.7711306,-4.94215261236844,5.1947118795817575,-2.2123241909818003,1.0333333333333334,1.8,1.1666666666666667
1731688338.802542,-4.301673613300186,3.975377897955335,-5.219803897076574,3.8333333333333335,4.266666666666667,1.5
1731688338.8171816,-1.5013846099097607,1.308377897955335,-9.132310459527298,4.133333333333334,4.666666666666667,0.3333333333333333
1731688338.839402,2.847022762845091,-1.375288120418242,-8.873991104922252,2.8,2.8333333333333335,-0.9333333333333333
1731688338.8560464,6.092398925232475,-0.7682881204182421,-2.8931376990352824,0.3,0.4666666666666667,-0.9666666666666667
1731688338.8772497,1.492429664456841,-0.05228812041824216,-8.178652400043239,-2.6666666666666665,-0.3,-0.06666666666666667
